pre,suff,count
dick,hat,1448
dick,canoe,32
dick,boat,97
dick,stick,718
dick,socket,30
dick,trumpet,33
dick,mitten,45
dick,twat,239
dick,dick,305
dick,cunt,278
dick,ass,3086
dick,cock,197
dick,balls,1291
dick,face,24276
dick,head,855756.4
dick,nuts,1434
dick,brain,1185
dick,brains,273
dick,knuckle,46
dick,mouth,409
dick,nose,5890
dick,skull,18
dick,tard,830
dick,oid,6
dick,ster,678
dick,azoid,10
dick,let,6552
dick,fuck,2401
dick,shit,3434
dick,fart,1200
dick,wit,515
dick,lib,0
dick,breath,1220
cock,wad,959
cock,bag,6296
cock,bucket,54
cock,sack,163
cock,ball,127
cock,splash,55
cock,pot,460
cock,pile,25
cock,weasel,602
cock,monkey,241
cock,dog,114
cock,rat,32
cock,bird,179
cock,goblin,1276
cock,puffin,5
cock,licker,270
cock,muncher,885
cock,fucker,315
cock,sucker,142885.80000000002
cock,lord,384
cock,clown,18
cock,slut,1991
cock,pirate,15
cock,bro,53
cock,nazi,10
cock,whore,849
cock,boy,936
cock,boi,70
cock,burglar,26
cock,bandit,22
cock,bitch,23
cock,waffle,2440
cock,burger,87
cock,cake,56
cock,nugget,553
cock,rag,87
cock,nozzle,445
cock,stain,1153
cock,wagon,182
cock,weed,118
cock,hat,166
cock,canoe,7
cock,boat,157
cock,stick,99
cock,socket,641
cock,trumpet,64
cock,mitten,6
cock,twat,47
cock,dick,240
cock,cunt,37
cock,ass,957
cock,cock,250
cock,balls,323
cock,face,2437
cock,head,19985
cock,nuts,97
cock,brain,91
cock,brains,30
cock,knuckle,85
cock,mouth,212
cock,nose,618
cock,skull,17
cock,tard,330
cock,oid,5
cock,ster,331
cock,azoid,35
cock,let,816
cock,fuck,514
cock,shit,499
cock,fart,168
cock,wit,210
cock,lib,0
cock,breath,787
twat,wad,152
twat,bag,1074
twat,bucket,127
twat,sack,60
twat,ball,34
twat,splash,0
twat,pot,6
twat,pile,2
twat,weasel,90
twat,monkey,163
twat,dog,22
twat,rat,1
twat,bird,11
twat,goblin,248
twat,puffin,10
twat,licker,20
twat,muncher,41
twat,fucker,20
twat,sucker,6
twat,lord,72
twat,clown,5
twat,slut,1
twat,pirate,0
twat,bro,3
twat,nazi,1
twat,whore,6
twat,boy,32
twat,boi,9
twat,burglar,13
twat,bandit,3
twat,bitch,12
twat,waffle,17379
twat,burger,218
twat,cake,96
twat,nugget,269
twat,rag,58
twat,nozzle,341
twat,stain,100
twat,wagon,43
twat,weed,6
twat,hat,14
twat,canoe,69
twat,boat,0
twat,stick,86
twat,socket,5
twat,trumpet,1
twat,mitten,0
twat,twat,8
twat,dick,14
twat,cunt,130
twat,ass,19
twat,cock,20
twat,balls,17
twat,face,1220
twat,head,338
twat,nuts,7
twat,brain,17
twat,brains,5
twat,knuckle,120
twat,mouth,32
twat,nose,22
twat,skull,3
twat,tard,21
twat,oid,4
twat,ster,60
twat,azoid,5
twat,let,23
twat,fuck,149
twat,shit,35
twat,fart,29
twat,wit,12
twat,lib,0
twat,breath,13
knob,wad,5
knob,bag,0
knob,bucket,0
knob,sack,44
knob,ball,1
knob,splash,4
knob,pot,0
knob,pile,0
knob,weasel,12
knob,monkey,0
knob,dog,4
knob,rat,2
knob,bird,0
knob,goblin,372
knob,puffin,0
knob,licker,40
knob,muncher,9
knob,fucker,4
knob,sucker,25
knob,lord,17
knob,clown,11
knob,slut,0
knob,pirate,0
knob,bro,0
knob,nazi,0
knob,whore,0
knob,boy,2
knob,boi,0
knob,burglar,0
knob,bandit,0
knob,bitch,0
knob,waffle,16
knob,burger,0
knob,cake,11
knob,nugget,1
knob,rag,0
knob,nozzle,0
knob,stain,11
knob,wagon,1
knob,weed,44
knob,hat,7
knob,canoe,1
knob,boat,0
knob,stick,201
knob,socket,18
knob,trumpet,1
knob,mitten,0
knob,twat,3
knob,dick,8
knob,cunt,1
knob,ass,2
knob,cock,17
knob,balls,0
knob,face,81
knob,head,23458
knob,nuts,7
knob,brain,0
knob,brains,0
knob,knuckle,6
knob,mouth,0
knob,nose,3
knob,skull,1
knob,tard,11
knob,oid,2
knob,ster,41
knob,azoid,3
knob,let,73
knob,fuck,11
knob,shit,5
knob,fart,0
knob,wit,3
knob,lib,0
knob,breath,0
pecker,wad,8
pecker,bag,1
pecker,bucket,0
pecker,sack,0
pecker,ball,3
pecker,splash,0
pecker,pot,0
pecker,pile,0
pecker,weasel,2
pecker,monkey,0
pecker,dog,1
pecker,rat,0
pecker,bird,9
pecker,goblin,0
pecker,puffin,0
pecker,licker,2
pecker,muncher,0
pecker,fucker,2
pecker,sucker,6
pecker,lord,2
pecker,clown,0
pecker,slut,0
pecker,pirate,0
pecker,bro,0
pecker,nazi,0
pecker,whore,0
pecker,boy,5
pecker,boi,0
pecker,burglar,0
pecker,bandit,0
pecker,bitch,0
pecker,waffle,0
pecker,burger,0
pecker,cake,0
pecker,nugget,3
pecker,rag,0
pecker,nozzle,0
pecker,stain,2
pecker,wagon,0
pecker,weed,2
pecker,hat,1
pecker,canoe,0
pecker,boat,0
pecker,stick,1
pecker,socket,0
pecker,trumpet,0
pecker,mitten,1
pecker,twat,0
pecker,dick,34
pecker,cunt,0
pecker,ass,1
pecker,cock,1
pecker,balls,2
pecker,face,72
pecker,head,3140
pecker,nuts,5
pecker,brain,111
pecker,brains,4
pecker,knuckle,0
pecker,mouth,1
pecker,nose,3
pecker,skull,0
pecker,tard,0
pecker,oid,1
pecker,ster,0
pecker,azoid,0
pecker,let,0
pecker,fuck,1
pecker,shit,1
pecker,fart,1
pecker,wit,1
pecker,lib,0
pecker,breath,13
prick,wad,70
prick,bag,85
prick,bucket,1
prick,sack,2
prick,ball,9
prick,splash,0
prick,pot,0
prick,pile,0
prick,weasel,15
prick,monkey,1
prick,dog,2
prick,rat,1
prick,bird,0
prick,goblin,1
prick,puffin,0
prick,licker,20
prick,muncher,1
prick,fucker,0
prick,sucker,2
prick,lord,29
prick,clown,0
prick,slut,0
prick,pirate,1
prick,bro,0
prick,nazi,0
prick,whore,0
prick,boy,9
prick,boi,2
prick,burglar,0
prick,bandit,0
prick,bitch,13
prick,waffle,11
prick,burger,1
prick,cake,0
prick,nugget,7
prick,rag,2
prick,nozzle,6
prick,stain,10
prick,wagon,2
prick,weed,6
prick,hat,4
prick,canoe,0
prick,boat,0
prick,stick,23
prick,socket,0
prick,trumpet,0
prick,mitten,0
prick,twat,5
prick,dick,19
prick,cunt,8
prick,ass,48
prick,cock,2
prick,balls,0
prick,face,247
prick,head,200
prick,nuts,2
prick,brain,1
prick,brains,2
prick,knuckle,0
prick,mouth,2
prick,nose,5
prick,skull,0
prick,tard,39
prick,oid,1
prick,ster,190
prick,azoid,6
prick,let,26
prick,fuck,36
prick,shit,31
prick,fart,1
prick,wit,49
prick,lib,0
prick,breath,0
pussy,wad,10
pussy,bag,11
pussy,bucket,3
pussy,sack,4
pussy,ball,263
pussy,splash,0
pussy,pot,6
pussy,pile,752
pussy,weasel,2
pussy,monkey,0
pussy,dog,26
pussy,rat,2
pussy,bird,4
pussy,goblin,6
pussy,puffin,0
pussy,licker,385
