pre,suff,count,wikt
shit,nose,128.0,False
shit,skull,160.0,False
shit,tard,974.0,False
shit,oid,10.0,False
shit,ster,567.0,False
shit,azoid,6.0,False
shit,let,414.0,True
shit,fuck,15540.0,True
shit,shit,617.0,False
shit,fart,270.0,False
shit,wit,1525.0,True
shit,lib,21815.0,True
shit,breath,579.0,True
crap,wad,28.0,False
crap,bag,1224.0,False
crap,bucket,95.0,False
crap,sack,4698.0,True
crap,ball,63.0,False
crap,splash,2.0,False
crap,pot,21.0,False
crap,pile,79.0,False
crap,weasel,210.0,False
crap,monkey,13.0,False
crap,dog,10.0,False
crap,rat,5.0,False
crap,bird,9.0,False
crap,goblin,5.0,False
crap,puffin,0.0,False
crap,licker,4.0,False
crap,muncher,9.0,False
crap,fucker,2.0,False
crap,sucker,9.0,False
crap,lord,88.0,False
crap,clown,2.0,False
crap,slut,1.0,False
crap,pirate,0.0,False
crap,bro,1.0,False
crap,nazi,0.0,False
crap,whore,0.0,False
crap,boy,9.0,False
crap,boi,1.0,False
crap,burglar,2.0,False
crap,bandit,0.0,False
crap,bitch,1.0,False
crap,waffle,342.0,False
crap,burger,44.0,False
crap,cake,147.0,False
crap,nugget,21.0,False
crap,rag,14.0,False
crap,nozzle,0.0,False
crap,stain,191.0,True
crap,wagon,278.0,False
crap,weed,14.0,False
crap,hat,63.0,True
crap,canoe,0.0,False
crap,boat,10.0,False
crap,stick,122.0,False
crap,socket,1.0,False
crap,trumpet,0.0,False
crap,mitten,1.0,False
crap,twat,3.0,False
crap,dick,15.0,False
crap,cunt,10.0,False
crap,ass,737.0,True
crap,cock,5.0,False
crap,balls,829.0,False
crap,face,364.0,True
crap,head,499.0,True
crap,nuts,49.0,False
crap,brain,3.0,False
crap,brains,2.0,False
crap,knuckle,4.0,False
crap,mouth,20.0,False
crap,nose,4.0,False
crap,skull,1.0,False
crap,tard,103.0,False
crap,oid,14.0,True
crap,ster,131.0,False
crap,azoid,34.0,False
crap,let,81.0,True
crap,fuck,108.0,False
crap,shit,590.0,True
crap,fart,6.0,False
crap,wit,8.0,False
crap,lib,4.0,False
crap,breath,1.0,False
poop,wad,17.0,False
poop,bag,189.0,True
poop,bucket,68.0,False
poop,sack,346.0,False
poop,ball,306.0,False
poop,splash,32.0,False
poop,pot,1.0,False
poop,pile,7.0,False
poop,weasel,9.0,False
poop,monkey,12.0,False
poop,dog,139.0,False
poop,rat,142.0,False
poop,bird,28.0,False
poop,goblin,9.0,False
poop,puffin,0.0,False
poop,licker,67.0,False
poop,muncher,5.0,False
poop,fucker,28.0,False
poop,sucker,29.0,False
poop,lord,601.0,False
poop,clown,2.0,False
poop,slut,36.0,False
poop,pirate,0.0,False
poop,bro,6.0,False
poop,nazi,1.0,False
poop,whore,5.0,False
poop,boy,143.0,False
poop,boi,31.0,False
poop,burglar,0.0,False
poop,bandit,26.0,False
poop,bitch,4.0,False
poop,waffle,12.0,False
poop,burger,26.0,False
poop,cake,113.0,False
poop,nugget,163.0,False
poop,rag,16.0,False
poop,nozzle,8.0,False
poop,stain,632.0,False
poop,wagon,22.0,False
poop,weed,10.0,False
poop,hat,23.0,False
poop,canoe,29.0,False
poop,boat,5.0,False
poop,stick,351.0,False
poop,socket,28.0,False
poop,trumpet,4.0,False
poop,mitten,2.0,False
poop,twat,4.0,False
poop,dick,2008.0,False
poop,cunt,33.0,False
poop,ass,153.0,False
poop,cock,384.0,False
poop,balls,461.0,False
poop,face,2398.0,False
poop,head,3355.0,True
poop,nuts,126.0,False
poop,brain,98.0,False
poop,brains,11.0,False
poop,knuckle,19.0,False
poop,mouth,290.0,False
poop,nose,264.0,False
poop,skull,8.0,False
poop,tard,92.0,False
poop,oid,29.0,False
poop,ster,584.0,False
poop,azoid,2.0,False
poop,let,131.0,False
poop,fuck,70.0,False
poop,shit,312.0,False
poop,fart,332.0,False
poop,wit,4.0,False
poop,lib,1.0,False
poop,breath,29.0,False
poo,wad,3.0,False
poo,bag,149.0,False
poo,bucket,20.0,False
poo,sack,11.0,False
poo,ball,51.0,False
poo,splash,1.0,False
poo,pot,8.0,False
poo,pile,25.0,False
poo,weasel,3.0,False
poo,monkey,11.0,False
poo,dog,27.0,False
poo,rat,24.0,False
poo,bird,6.0,False
poo,goblin,4.0,False
poo,puffin,0.0,False
poo,licker,14.0,False
poo,muncher,3.0,False
poo,fucker,18.0,False
poo,sucker,3.0,False
poo,lord,26.0,False
poo,clown,0.0,False
poo,slut,2.0,False
poo,pirate,2.0,False
poo,bro,8.0,False
poo,nazi,0.0,False
poo,whore,0.0,False
poo,boy,114.0,False
poo,boi,8.0,False
poo,burglar,0.0,False
poo,bandit,6.0,False
poo,bitch,4.0,False
poo,waffle,1.0,False
poo,burger,15.0,False
poo,cake,11.0,False
poo,nugget,10.0,False
poo,rag,4.0,False
poo,nozzle,0.0,False
poo,stain,94.0,False
poo,wagon,2.0,False
poo,weed,2.0,False
poo,hat,12.0,False
poo,canoe,4.0,False
poo,boat,1.0,False
poo,stick,39.0,False
poo,socket,4.0,False
poo,trumpet,0.0,False
poo,mitten,0.0,False
poo,twat,1.0,False
poo,dick,66.0,False
poo,cunt,13.0,False
poo,ass,29.0,False
poo,cock,61.0,False
poo,balls,80.0,False
poo,face,549.0,True
poo,head,1066.0,True
poo,nuts,22.0,False
poo,brain,460.0,False
poo,brains,46.0,False
poo,knuckle,23.0,False
poo,mouth,6.0,False
poo,nose,2.0,False
poo,skull,0.0,False
poo,tard,26.0,False
poo,oid,0.0,False
poo,ster,179.0,False
poo,azoid,0.0,False
poo,let,33.0,False
poo,fuck,24.0,False
poo,shit,121.0,False
poo,fart,75.0,False
poo,wit,1.0,False
poo,lib,0.0,False
poo,breath,21.0,False
turd,wad,49.0,False
turd,bag,453.0,False
turd,bucket,738.0,True
turd,sack,100.0,False
turd,ball,1070.0,True
turd,splash,7.0,False
turd,pot,5.0,False
turd,pile,978.0,True
turd,weasel,33.0,False
turd,monkey,105.0,False
turd,dog,19.0,False
turd,rat,1.0,False
turd,bird,97.0,False
turd,goblin,92.0,False
turd,puffin,0.0,False
turd,licker,89.0,True
turd,muncher,163.0,False
turd,fucker,61.0,False
turd,sucker,42.0,False
turd,lord,147.0,False
turd,clown,5.0,False
turd,slut,0.0,False
turd,pirate,1.0,False
turd,bro,27.0,False
turd,nazi,0.0,False
turd,whore,1.0,False
turd,boy,191.0,False
turd,boi,326.0,False
turd,burglar,1196.0,False
turd,bandit,2.0,False
turd,bitch,40.0,False
turd,waffle,218.0,False
turd,burger,1666.0,False
turd,cake,86.0,False
turd,nugget,626.0,False
turd,rag,7.0,False
turd,nozzle,29.0,False
turd,stain,140.0,False
turd,wagon,71.0,False
turd,weed,0.0,False
turd,hat,74.0,False
turd,canoe,4.0,False
turd,boat,14.0,False
turd,stick,35.0,False
turd,socket,0.0,False
turd,trumpet,3.0,False
turd,mitten,0.0,False
turd,twat,6.0,False
turd,dick,7.0,False
turd,cunt,17.0,False
turd,ass,63.0,False
turd,cock,30.0,False
turd,balls,304.0,True
turd,face,625.0,False
turd,head,180.0,False
turd,nuts,7.0,False
turd,brain,173.0,False
turd,brains,53.0,False
turd,knuckle,55.0,False
turd,mouth,19.0,False
turd,nose,5.0,False
turd,skull,3.0,False
turd,tard,9.0,False
turd,oid,109.0,True
turd,ster,35.0,False
turd,azoid,3.0,False
turd,let,673.0,True
turd,fuck,71.0,False
turd,shit,67.0,False
turd,fart,28.0,False
turd,wit,6.0,False
turd,lib,2.0,False
turd,breath,42.0,False
butt,wad,501.0,False
butt,bag,161.0,False
butt,bucket,23.0,False
butt,sack,737.0,False
butt,ball,826.0,False
butt,splash,79.0,False
butt,pot,7.0,False
butt,pile,11.0,False
butt,weasel,54.0,False
butt,monkey,1403.0,False
butt,dog,168.0,False
butt,rat,9.0,False
butt,bird,12.0,False
butt,goblin,37.0,False
butt,puffin,0.0,False
butt,licker,9815.0,True
butt,muncher,700.0,True
butt,fucker,2248.0,True
butt,sucker,116.0,False
butt,lord,542.0,False
butt,clown,116.0,False
butt,slut,1521.0,True
butt,pirate,688.0,False
butt,bro,28.0,False
butt,nazi,1.0,False
butt,whore,57.0,False
butt,boy,1684.0,False
butt,boi,208.0,False
butt,burglar,38.0,False
butt,bandit,34.0,False
butt,bitch,19.0,False
butt,waffle,36.0,False
butt,burger,52.0,False
butt,cake,237.0,False
butt,nugget,835.0,False
butt,rag,34.0,False
butt,nozzle,51.0,False
butt,stain,95.0,False
butt,wagon,36.0,False
butt,weed,89.0,False
butt,hat,802.0,False
butt,canoe,5.0,False
butt,boat,16.0,False
butt,stick,100.0,False
butt,socket,5.0,False
butt,trumpet,73.0,False
butt,mitten,0.0,False
butt,twat,1.0,False
butt,dick,846.0,False
butt,cunt,108.0,False
butt,ass,1100.0,True
butt,cock,118.0,False
butt,balls,148.0,False
butt,face,17062.0,True
butt,head,112886.6,True
butt,nuts,142.0,False
butt,brain,87.0,False
butt,brains,16.0,False
butt,knuckle,87.0,False
butt,mouth,139.0,False
butt,nose,104.0,False
butt,skull,8.0,False
butt,tard,17.0,False
butt,oid,3.0,False
butt,ster,54.0,False
butt,azoid,0.0,False
butt,let,1045.0,False
butt,fuck,50818.45,True
butt,shit,634.0,False
butt,fart,835.0,False
butt,wit,3.0,False
butt,lib,1.0,False
butt,breath,79.0,True
ass,wad,2391.0,True
ass,bag,6883.0,False
ass,bucket,498.0,False
ass,sack,11.0,False
ass,ball,235.0,False
ass,splash,2.0,False
ass,pot,19.0,False
ass,pile,111.0,False
ass,weasel,79.0,False
ass,monkey,744.0,True
ass,dog,118.0,False
ass,rat,132.0,False
ass,bird,33.0,False
ass,goblin,504.0,False
ass,puffin,1.0,False
ass,licker,2844.0,True
ass,muncher,576.0,True
ass,fucker,1012.0,True
ass,sucker,66.0,False
ass,lord,752.0,False
ass,clown,44219.600000000006,True
ass,slut,16.0,False
ass,pirate,303.0,False
ass,bro,258.0,False
ass,nazi,10.0,False
ass,whore,339.0,True
ass,boy,202.0,False
ass,boi,71.0,False
ass,burglar,42.0,False
ass,bandit,279.0,False
ass,bitch,286.0,False
ass,waffle,289.0,False
ass,burger,2588.0,False
ass,cake,263.0,False
ass,nugget,473.0,False
ass,rag,205.0,False
ass,nozzle,93.0,False
ass,stain,14.0,False
ass,wagon,636.0,True
ass,weed,162.0,True
ass,hat,618185.625,True
ass,canoe,71.0,False
ass,boat,40.0,False
ass,stick,15.0,False
ass,socket,0.0,False
ass,trumpet,94.0,False
ass,mitten,1.0,False
ass,twat,569.0,False
ass,dick,968.0,False
ass,cunt,1224.0,True
ass,ass,3200.0,False
ass,cock,808.0,False
ass,balls,711.0,False
ass,face,12964.0,True
ass,head,2351.0,True
ass,nuts,180.0,False
ass,brain,181.0,True
ass,brains,51.0,True
ass,knuckle,33.0,False
ass,mouth,460.0,True
ass,nose,69.0,False
ass,skull,0.0,False
ass,tard,1721.0,True
ass,oid,3.0,False
ass,ster,2.0,False
ass,azoid,1.0,False
ass,let,34.0,False
ass,fuck,13918.0,True
ass,shit,268.0,False
ass,fart,641.0,False
ass,wit,125.0,False
ass,lib,7.0,False
ass,breath,128.0,True
bum,wad,168.0,True
bum,bag,2843.0,True
bum,bucket,3.0,False
bum,sack,37.0,False
bum,ball,37.0,False
bum,splash,0.0,False
bum,pot,3.0,False
bum,pile,0.0,False
bum,weasel,6.0,False
bum,monkey,0.0,False
bum,dog,60.0,False
bum,rat,22.0,False
bum,bird,1.0,False
bum,goblin,3.0,False
